Tiempo (ms),Lectura
6452,4Ja
7457,2
9398,3
10235,9
14361,5
14395,8
14428,81
14462,8
14529,83
14562,C3
14596,3
14629,8
14663,3
14730,43
14763,5
14797,3
14830,2
14864,5
14964,2
16738,44
17374,4
17408,1
17709,5
17944,2
18479,4
18714,5
20354,7_
20454,55
20488,=5
20521,5=
20756,2
20789,3
20856,6
20890,83
20923,8
20990,3
21291,14
21325,1q
24739,80
24840,81
24873,8
24907,83
24940,82
24974,83
25007,8
25041,7
25074,8
25108,3
25275,5
25309,3
26145,1
28154,01
28556,1
30698,14
31401,3
31535,8-
32338,4
32371,0
32505,8
32539,84
32572,8
32606,3
32639,81
32739,3
32806,8
33007,2
33242,39
33309,85
33342,F2
33376,F2bt
33409,8
33610,3
33643,4
33744,2
33777,3
33844,83
33878,3
33911,83
33978,8
34012,3
37426,1
38765,3
40037,"C%7,"
40071,7=
42053,D7y_
42153,7.21
42211,757
42579,15
42646,77
42988,70;
47257,04
48219,42
48754,0
48788,4
48821,0
48855,04
51499,4
52865,5
53931,2
54157,3
55335,0
57498,Z7>
57707,3
57740,7n
58106,~9.
59273,7ka
60039,37
60739,T24
61206,3=
61339,3~
64263,7
65536,14
70958,7r _
71862,7
75618,I4
79590,'5
79791,2
79824,5
82938,3
83147,8V
83180,E1
83213,8
83247,81
83280,1
83313,8
83405,2
83606,8
