Time (ms),Reading
33,0.0
66,0.0
100,0.0
133,0.0
167,0.0
200,0.0
234,0.5
267,0.0
301,0.0
334,0.5
367,0.0
401,0.0
434,0.0
468,0.0
501,0.0
535,0.0
568,0.5
602,0.0
635,0.0
669,0.0
702,0.0
735,0.0
769,0.0
802,0.0
836,0.5
869,0.0
903,0.0
936,0.0
970,0.0
1003,0.0
1036,0.0
1070,0.0
1103,0.0
1137,0.0
1170,0.0
1204,0.0
1237,0.0
1271,0.0
1304,0.0
1338,0.0
1371,0.0
1404,0.0
1438,0.0
1471,0.0
1505,0.0
1538,0.0
1572,0.0
1605,0.0
1639,0.5
1672,0.0
1705,0.0
1739,0.0
1772,0.0
1806,0.0
1839,0.0
1873,0.3
1906,0.0
1940,3.6
1973,3.6
2007,0.3
2040,0.3
2073,0.3
2107,0.0
2140,0.0
2174,0.0
2207,55.2
2241,5.2
2274,00052.3
2308,05.2
2341,5.2
2374,5.2
2408,5.2
2441,5.2
2475,5.2
2508,5.2
2542,5.2
2575,5.2
2609,5.2
2642,5.2
2676,5.2
2709,5.2
2742,5.2
2776,5.2
2809,5.3
2843,5.2
2876,5.2
2910,5.2
2943,5.2
2977,5.2
3010,0.0
3043,5.2
3077,5.2
3110,5.2
3144,5.2
3177,0.0
3211,5.2
3244,5.2
3278,0.0
3311,0.0
3345,0.0
3378,0.0
3411,0.0
3445,0.0
3478,0.0
3512,0.0
3545,0.0
3579,0.0
3612,0.0
3646,0.0
3679,0.0
3712,0.5
3746,0.0
3779,00.0
3813,00.0
3846,0.0
3880,0.0
3913,0.0
3947,0.0
3980,0.0
4014,0.5
4047,00.5
4080,0.0
4114,00.0
4147,0.3
4181,0.0
4214,0.0
4248,0.0
4281,0.0
4315,0.0
4348,0.0
4382,0.0
4415,00.0
4448,00.0
4482,000.3
4515,00.3
4549,00.3
4582,0.3
4616,0.3
4649,0.3
4683,0.3
4716,0.3
4749,0.3
4783,0.3
4816,0.0
4850,0.3
4883,0.3
4917,0.3
4950,0.3
4984,0.3
5017,0.0
5051,0.3
5084,0.3
5117,0.0
5151,0.0
5184,0.0
5218,0.0
5251,0.5
5285,0.0
5318,0.0
5352,0.0
5385,0.3
5418,0.0
5452,0.0
5485,0.3
5519,0.3
5552,0.3
5586,0.3
5619,0.3
5653,0.3
5686,0.3
5720,0.3
5753,00.3
5786,0.3
5820,0.3
5853,0.3
5887,0.3
5920,0.3
5954,0.3
5987,0.0
6021,0.3
6054,0.3
6087,00.3
6121,0.3
6154,0.3
6188,0.3
6221,0.3
6255,0.3
6288,0.0
6322,0.3
6355,0.3
6389,0.3
6422,0.3
6455,0.3
6489,0.3
6522,0.3
6556,0.3
6589,0.3
6623,0.3
6656,0.3
