Time (ms),Reading
0,2.3
100,28.0
267,18.1
3950,238.5
4988,78.0
11516,72.3
11616,72.2
11717,72.3
12118,528.5
12185,328.5
12319,8.5
12386,8.3
12788,8.5
13424,72.4
13558,63.4
14997,7078.5
15064,7778.3
15165,708.5
15198,778.5
15533,28.3
15567,28.5
16671,38.6
16905,38.5
18177,28.5
18345,38.5
18378,38.3
18713,38.5
18888,378.3
19021,28.5
20616,358.5
20750,188.6
21319,18.3
21419,48.5
21453,48.3
21486,48.5
21520,48.4
21553,48.5
24128,28.5
24630,28.3
24831,478.5
24932,253.4
25132,8.5
25166,8.6
25199,8.5
25501,48.5
25534,48.3
25568,48.5
25601,48.4
25635,48.3
25802,48.5
26974,2.3
27074,02.3
27208,38.5
28581,38.3
28648,38.5
28715,38.3
28748,38.5
29049,48.3
29760,4778.5
29860,58.5
29894,58.8
30160,58.5
31394,28.6
40792,78.4
40825,58.1
41193,3028.5
41494,715.3
41594,3028.4
42431,28.5
42465,28.3
42699,28.4
44440,8.5
44615,38.5
44648,45.4
47148,8.5
47651,28.3
48086,38.3
48387,58.3
48789,318.5
48990,183.4
49157,8.5
49391,58.3
49492,48.3
49760,18.3
49961,48.5
50095,63.5
50228,318.5
50262,418.3
50362,38.5
50530,418.5
51802,38.5
53041,28.5
53174,28.3
53978,58.3
54011,38.3
56087,3.4
56121,3.8
56254,38.1
56757,428.5
56991,568.5
57326,48.5
57359,48.1
57560,38.5
57627,48.1
57962,7123.5
59100,378.3
59736,378.5
59970,8.3
60071,8.4
60874,8.5
61243,28.5
61912,45.3
