Time (ms),Reading
0,2.3
33,228.5
66,28.0
133,228.5
167,8.1
200,224.0
234,3.0
267,31.0
301,2.8
435,28.5
468,828.5
502,2.5
535,21.6
903,38.5
3046,23.0
3515,8.3
3582,8.2
3682,28.5
3716,22.8
3749,28.0
3782,338.5
3816,238.5
3883,38.5
3916,2.8
3950,238.5
3983,38.7
4017,28.5
4084,2.3
4251,38.5
4419,8.3
4452,788.5
4486,78.3
4519,738.5
4552,8.5
4586,18.5
4619,7738.5
4686,78.1
4753,78.5
4787,2.3
4820,6.8
4854,7289.4
4887,28.0
4921,78.0
4954,28.3
4988,312.8
5055,77.8
5088,2.8
5122,8.5
5155,37.8
5189,37678.5
5222,6.3
5256,689.3
5289,728.3
5322,28.5
5356,2.8
5389,28.5
5423,472.3
5456,28.0
5490,98.5
5523,478.5
5557,28.5
5590,428.5
5624,9.4
5657,98.1
5691,28.1
5724,373.3
5758,42.8
5825,478.5
7833,88.5
7867,238.5
7900,28.5
7934,33.3
7967,8.1
8001,28.5
8034,228.5
8101,8.1
8135,8.0
8235,3558.5
8269,8.5
8302,3733.5
8335,3558.0
8369,538.5
8402,4534.8
8436,3538.5
8469,558.0
8503,538.0
8536,338.5
8570,358.1
8603,58.1
8737,38.6
8804,2378.1
8838,32.3
8871,72.3
8905,8.0
8938,5738.0
8972,573.8
9005,578.1
9039,68.1
9072,58.1
9206,778.1
9239,58.1
9373,1.5
9407,8.5
9440,8.1
9474,28.3
9507,448.3
9541,48.5
9574,40558.5
9608,848.5
9641,358.5
9675,438.5
9708,78.5
9742,378.5
9775,8.5
9842,58.3
9875,7.3
9909,468.1
9942,2.4
9976,328.3
10009,28.5
10043,28.3
10076,37128.2
10110,0728.5
10143,28.5
10244,428.5
10277,7228.5
10311,702.8
10344,28.8
10378,28.3
10411,71258.5
10445,70228.5
10478,28.5
10512,4028.5
10545,4072.8
10578,4028.1
10612,37168.5
10645,28.5
10712,398.5
10746,3748.2
10779,28.5
10813,3728.5
10846,28.5
10913,48.5
10947,28.5
11047,28.3
11081,28.6
11114,28.5
11148,418.5
11181,08.5
11215,28.5
11248,2.8
11282,28.3
11315,28.5
11348,83.5
11382,28.3
11415,3358.3
11449,72.3
11482,7.8
11516,78.1
11583,7.2
11616,72.2
11650,728.3
11683,78.1
11717,72.3
11750,7.3
11784,7.8
11817,728.3
11851,723.5
11884,78.9
11918,7.8
11951,7.3
11985,72.8
12018,32.3
12052,723.6
12085,528.5
12152,78.5
12185,328.5
12219,728.5
12286,8.5
12353,723.5
12386,8.3
12688,8.2
12721,8.5
12822,8.3
12888,8.5
12955,8.3
12989,8.5
13223,528.5
13257,72.8
13290,7.4
13324,723.5
13357,32.1
13391,72.3
13424,72.4
13458,538.5
13491,3.4
13525,7.2
13558,63.4
13592,7.4
13625,728.3
13658,8.5
13692,738.1
13725,5.8
13759,58.5
13792,58.1
13826,8.3
13859,338.5
13893,8.5
13960,28.5
14060,88.5
14094,28.5
14127,468.5
14161,308.5
14194,28.5
14228,28.2
14261,228.3
14295,28.2
14328,28.5
14395,68.5
14428,8.3
14462,8.8
14495,8.5
14529,8.8
14596,8.5
14663,8.3
14696,4338.5
14730,48.5
14763,48.2
14797,478.5
14830,48.5
14864,8.3
14897,2018.6
14930,08.5
14964,7078.5
15031,70438.5
15064,7778.3
15098,708.5
15131,708.6
15165,708.5
15198,778.5
15232,78.5
15265,708.3
15299,728.5
15332,78.6
15366,70578.5
15399,70738.5
15433,5738.3
15466,28.3
15500,8.8
15533,28.3
15567,28.5
15633,58.3
15667,08.5
15700,48.3
15734,7378.5
15767,38.7
15801,4848.3
15834,158.3
15868,38.3
15901,8.3
15968,8.5
16002,8.3
16035,8.5
16069,8.3
16136,8.5
16202,8.6
16236,078.2
16269,8.5
16303,8.3
16336,08.3
16370,8.6
16403,38.5
16437,38.2
16470,38.8
16504,07148.5
16537,8.8
16571,48.2
16604,38.6
16638,3708.6
16671,28.5
16704,58.2
16738,8.5
16771,78.5
16805,4708.3
16838,8.3
16872,58.3
16905,38.5
16939,458.3
16972,7208.3
17006,38.5
17039,78.6
17073,8.5
17106,38.5
17140,48.6
17173,8.6
17206,38.3
17240,38.5
17307,4138.3
17340,478.3
17374,07448.5
17407,0118.3
17441,8.5
17474,358.5
17508,38.5
17575,48.3
17608,3538.5
17642,58.3
17675,38.2
17708,28.3
17742,28.5
17976,28.3
18010,28.5
18077,28.3
18110,28.2
18144,138.5
18177,38.5
18278,538.5
18311,38.3
18345,28.5
18412,8.3
18445,48.5
18545,48.3
18579,48.5
18646,08.5
18688,4.8
18713,38.5
18754,8.5
18788,47038.5
18821,358.3
18854,378.5
18888,378.3
18921,8.5
18954,28.5
18988,28.2
19021,28.5
19088,3728.5
19121,28.5
19154,37538.5
19188,32.8
19221,3728.5
19254,28.5
19388,28.7
19421,28.5
19454,3728.5
19488,28.5
19521,428.5
19554,28.3
19588,28.8
19621,28.5
19688,378.5
19721,48.6
19754,7158.3
19788,318.5
19813,418.5
