Time (ms),Reading
33,0.0
1874,0.6
2376,8.8
2410,9.4
2745,0.4
4084,9.4
4151,9.8
4486,737.4
5222,154.4
5992,1432.1
6025,1472.1
6628,9.8
6896,9.6
7432,9.8
7532,9.0
7733,9.4
9340,858.1
9440,483.4
11348,1396.1
11549,0.2
11583,0.3
12922,0.4
13257,0.3
14328,85.8
14529,7.8
14797,91.2
14931,121.4
15198,921.4
16035,79.4
16069,78.4
16538,263.3
16772,9.9
17073,299.4
17207,263.4
18513,626.1
19048,55.8
21860,264.9
22061,956.1
22865,59.4
23635,455.4
23668,266.3
24974,5.9
25141,45.9
25175,59.7
25376,59.5
26815,469.8
26849,459.8
27083,469.8
28288,69.9
28590,69.8
28824,69.4
29025,467.3
29058,267.3
29627,67.7
29728,266.4
29761,256.4
30096,5.5
30196,55.8
30732,55.4
30966,55.8
31569,55.7
31736,0.5
31870,25.5
31904,26.5
32573,2.5
33076,2.0
33544,4.6
34013,6.5
34281,4.6
34682,4.5
36122,2.6
36658,4.6
36691,4.5
37896,2.5
38164,2.6
38800,4.5
38901,2.5
39168,4.5
39336,2.5
39704,2.6
39872,4.5
41077,65.8
41880,45.9
42550,65.1
42951,54.1
43655,0645.5
43755,645.5
44291,046.5
44391,064.5
46333,266.3
46902,46.5
48141,2576.1
48174,2467.0
48341,66.0
48442,66.9
48877,267.3
48911,257.7
51154,2578.1
51455,56.4
51857,266.4
52995,558.1
53330,55.8
53530,255.4
56845,595.1
56979,360.1
57749,4596.1
58318,261.4
58653,552.1
59757,4565.1
60126,457.4
62938,26.6
63105,466.4
63540,06465.4
63741,266.7
65047,0.2
66152,8.8
