Time (ms),Reading
267,0.4
669,0.6
3439,0.1
6117,0.6
7256,0.1
7657,0.0
9767,0.4
9967,0.6
11984,10.4
12888,4.0
13123,0.0
13156,0.6
13591,0.4
13993,0.2
14696,51.4
14964,0.4
15901,10.4
16002,0.4
19484,494.6
19718,194.8
19952,16.5
20120,165.7
20254,465.8
20521,16.5
21258,46.7
21425,0.3
22295,0.5
22396,0.3
23969,0.5
24070,0.4
24338,103.5
24605,193.5
25610,0.3
26279,0.4
29961,40.6
30229,184.7
30330,104.7
30932,0.4
31468,75.8
32103,1.8
32204,1.7
32271,1.6
33476,38.9
33509,30.9
33911,34.8
34246,0.4
36556,70.9
36790,194.7
36891,176.3
38698,0.5
38966,93.6
40205,07.4
40439,74.2
41243,14.3
41719,65.8
41753,65.1
41786,65.8
41986,65.9
42345,65.5
43155,68.0
43447,65.9
43715,65.8
43916,65.6
43991,65.8
44125,65.6
44158,65.5
44391,65.8
44424,65.5
44991,65.9
45024,65.8
45091,65.5
45457,651.1
45791,65.1
46191,65.8
46491,65.5
47282,65.9
47659,65.5
48052,65.9
48185,65.5
48219,65.9
48420,65.5
48453,65.9
48755,65.5
49666,66.8
49699,65.8
49832,65.5
49966,65.8
50232,65.5
50466,65.9
50766,65.8
50866,65.9
51099,65.5
51365,65.8
51399,65.9
51665,65.5
51899,65.9
52065,65.5
52099,65.8
52232,621.1
53931,6.5
54023,65.2
56427,65.8
56594,65.1
56628,65.8
57840,65.5
58373,65.9
58706,65.5
58873,65.8
58906,65.5
59140,65.9
59439,65.5
59806,65.8
59906,65.9
59939,65.8
60173,65.9
60339,65.5
60572,65.9
65402,66.5
66942,6.6
67477,66.0
67745,65.5
68683,65.8
68716,65.5
69051,65.9
69151,65.8
69654,6.7
69754,65.9
69988,65.5
70122,65.8
70223,65.5
70557,65.9
70700,65.5
70925,65.9
70992,65.8
71159,65.9
71595,65.5
72164,65.9
72465,65.8
73905,6.7
74005,65.9
74039,65.5
74407,65.9
74608,65.8
74641,65.9
74842,65.5
75085,658.1
75118,651.8
75185,655.0
75385,65.1
75418,65.6
75485,65.1
75685,65.8
75785,65.9
75918,65.8
76043,65.5
76177,65.9
76754,65.8
76879,65.9
77247,65.8
77448,65.9
78051,65.5
79725,65.8
80662,61.0
80695,65.8
81432,65.4
81666,65.3
82236,65.4
82470,65.5
82805,65.9
82972,65.5
83741,0.5
