Time (ms),Reading
33,0.0
66,0.0
100,0.0
133,0.0
166,0.0
200,0.0
233,0.0
266,0.0
300,0.0
333,0.0
367,0.0
400,0.0
433,0.0
467,0.0
500,0.0
533,0.0
567,0.0
600,0.0
633,0.0
667,0.0
700,0.0
734,0.0
767,0.0
800,0.0
834,0.0
867,0.0
900,0.0
934,0.0
967,0.0
1001,0.0
1034,0.0
1067,0.0
1101,0.0
1134,0.0
1167,0.0
1201,0.0
1234,0.0
1267,0.0
1301,0.0
1334,0.0
1368,0.0
1401,0.0
1434,0.0
1468,0.0
1501,0.0
1534,0.0
1568,0.0
1601,0.0
1634,0.0
1668,0.0
1701,0.0
1735,0.0
1768,0.0
1801,0.0
1835,0.0
1868,0.0
1901,0.0
1935,0.0
1968,0.0
2002,0.0
2035,0.0
2068,0.0
2102,0.0
2135,0.0
2168,0.0
2202,0.2
2235,0.2
2268,0.2
2302,0.2
2335,0.2
2369,0.2
2402,0.2
2435,0.2
2469,0.2
2502,2.6
2535,0.2
2569,0.2
2602,0.2
2635,0.2
2669,0.2
2702,0.2
2736,0.2
2769,2.0
2802,0.2
2836,0.2
2869,2.0
2902,0.2
2936,0.2
2969,0.2
3003,0.2
3036,0.2
3069,0.2
3103,1.9
3136,1.9
3169,1.9
3203,1.8
3236,1.8
3269,1.8
3303,1.8
3336,1.8
3370,1.8
3403,1.8
3436,1.9
3470,1.8
3503,1.9
3536,1.9
3570,1.9
3603,1.9
3636,1.9
3670,1.9
3703,1.9
3737,1.9
3770,1.9
3803,0.9
3837,1.9
3870,1.9
3903,1.9
3937,1.9
3970,1.9
4004,1.9
4037,1.9
4070,1.9
4104,1.9
4137,1.9
4170,1.9
4204,1.9
4237,1.9
4270,0.9
4304,1.9
4337,1.9
4371,0.9
4404,1.9
4437,1.9
4471,1.9
4504,1.9
4537,1.9
4571,1.9
4604,1.9
4637,0.9
4671,1.9
4704,1.9
4738,1.9
4771,1.9
4804,1.9
4838,1.9
4871,1.9
4904,1.9
4938,1.9
4971,1.9
5005,1.9
5038,1.9
5071,1.9
5105,0.3
5138,1.9
5171,1.9
5205,3.1
5238,1.9
5271,1.9
5305,1.9
5338,3.6
5372,1.9
5405,0.3
5438,1.9
5472,2.3
5505,2.3
5538,2.3
5572,2.3
5605,2.3
5638,2.3
5672,2.3
5705,2.3
5739,2.3
5772,2.2
5805,2.3
5839,2.2
5872,2.3
5905,2.3
5939,0.2
5972,2.3
6006,2.3
6039,2.3
6072,2.3
6106,2.3
6139,2.3
6172,2.3
6206,2.3
6239,2.3
6272,2.3
6306,2.3
6339,2.3
6373,2.3
6406,2.3
6439,2.3
6473,2.3
6506,2.3
6539,2.3
6573,2.3
6606,2.3
6639,2.3
6673,2.3
