Time (ms),Reading
66,7.1
399,5.8
866,5.0
899,4.3
1066,3.4
1133,2.9
1166,2.4
1199,2.1
1332,2.0
1366,1.8
1466,1.7
1566,1.6
1899,1.5
2066,15.1
2132,1.5
2166,1.4
2266,1.5
2732,1.6
2932,1.8
2965,2.0
2999,2.1
3032,2.2
3099,2.3
3199,2.4
4432,2.3
4498,2.2
4532,4.7
5298,3.9
5331,3.0
5365,2.4
5398,2.2
5431,2.0
5465,1.9
5498,1.8
5765,1.7
6065,1.8
6165,1.7
6265,1.8
6298,1.7
6564,1.5
6698,461.9
7364,2.1
7398,2.8
7431,2.4
7464,2.3
7498,0.2
7731,2.1
8097,2.2
8297,2.3
8364,2.4
8397,2.5
8497,2.6
8664,2.5
9230,2.4
9497,2.3
9730,1.9
10797,19.1
11363,4.7
11863,5.7
11896,5.5
12330,5.3
12563,4.7
12596,4.2
12630,471.9
12963,441.0
13063,441.4
13096,1.8
13163,1.9
13496,1.8
13529,1.7
13563,1.6
13962,1.5
14362,1.6
14396,1.7
14662,26.1
14829,2.4
14929,26.1
15029,2.5
15096,2.6
15162,2.5
15495,2.4
15662,2.3
15895,2.4
16195,2.3
16295,2.4
16329,22.1
16429,2.7
16462,2.2
16562,2.5
16595,2.4
16628,2.3
16728,2.2
16828,2.1
17062,21.1
17162,28.1
17195,2.0
17262,2.8
17295,2.6
17328,2.7
17362,2.6
17428,2.5
17462,2.3
17595,20.6
17895,20.1
17928,2.0
17961,2.4
18461,2.1
18861,2.2
18928,2.3
18995,2.2
19328,2.1
19428,2.2
19661,2.1
20461,24.1
20494,20.1
20627,2.1
20661,2.0
20761,2.1
20827,2.0
21094,460.6
21194,9.6
21527,0.9
21560,0.4
21894,440.2
21927,0.9
