Time (ms),Reading
267,0.4
301,0.0
401,10.6
669,0.6
703,10.0
736,0.6
1171,4.8
1205,0.0
2510,0.6
2945,00.1
2979,0.6
3012,00.1
3104,0.1
3439,0.6
4343,0.9
5046,0.6
5080,0.1
5113,9.0
5247,0.6
5347,9.6
5381,9.9
5582,0.6
5950,9.0
5984,0.0
6051,0.8
6084,0.0
6117,0.6
6218,0.1
6586,0.0
6653,0.1
6854,9.1
6887,0.1
7222,9.0
7256,0.6
7289,0.0
7591,0.9
7624,0.0
7724,0.4
7758,0.0
7892,0.6
7925,0.0
8193,0.5
8394,0.0
8528,0.1
8796,0.0
9365,0.4
9532,0.0
9666,4.0
9700,0.7
9733,0.4
9767,0.0
9967,0.6
10001,0.0
10068,0.9
10101,0.6
10135,9.6
10269,0.6
10905,0.0
10972,0.1
11039,0.0
11072,0.6
11507,0.4
11784,0.1
11884,103.8
11918,10.4
11951,1.0
11984,10.4
12018,0.2
12152,0.8
12185,0.4
12286,4.0
12587,0.0
12688,4.0
12721,0.0
12855,4.0
12888,9.0
13022,9.6
13056,0.6
13089,0.0
13156,0.6
13223,0.0
13290,0.8
13324,0.0
13357,0.1
13524,0.0
13591,0.4
13625,0.7
13759,0.8
13826,0.7
13893,0.2
13926,9.2
13960,0.2
14127,02.5
14161,0.2
14227,82.1
14294,8.2
14395,0.2
14629,41.0
14663,51.4
14897,0.4
15567,0.5
15634,0.4
15767,20.4
15801,0.4
15834,10.4
15935,0.4
16035,8.4
16069,0.4
17240,8.4
17274,0.4
17307,8.4
17374,9.4
17408,0.4
17441,9.4
17475,0.4
17542,10.4
17609,80.4
17642,60.4
17676,0.4
19383,444.4
19417,194.6
19450,494.6
19517,18.4
19550,194.8
19584,194.6
19617,18.4
19651,194.6
19684,194.8
19718,494.8
19751,194.6
19785,184.1
19818,494.6
19852,194.8
19885,1652.8
19919,16.5
19986,165.8
20019,16.5
20053,165.7
20187,16.5
20220,465.7
20254,465.8
20287,165.8
20354,16.5
20387,165.1
20421,16.5
20454,165.8
20521,16.5
20588,165.7
20622,165.8
20655,16.5
20823,165.8
20856,16.5
20890,89.1
20923,1.4
20990,19.0
21124,9.7
21157,46.7
21191,4.6
21224,46.7
21291,464.7
21325,46.7
21358,467.7
21392,0.3
21492,10.3
21526,0.3
21559,10.3
21592,0.3
21693,0.5
21726,0.3
21927,0.5
22295,0.3
23601,0.8
23635,0.5
23969,0.4
24137,103.9
24170,103.0
24204,403.5
24237,493.5
24271,103.5
24304,193.5
24338,103.5
24371,493.5
24405,193.5
24438,1839.1
24472,193.9
24539,183.9
24572,1835.1
24605,103.9
24639,165.8
24672,16.5
24706,165.8
24873,9630.8
24907,91.7
25141,42.0
25342,42.4
25375,47.5
25476,0.3
26045,0.8
26112,0.3
26179,0.4
26246,0.5
26279,0.4
26815,8.4
26848,0.4
26982,8.4
27016,0.4
27116,8.4
27149,0.4
29895,40.6
29928,40.8
29961,40.6
30062,40.8
30129,4411.7
30162,194.7
30196,184.7
30263,14.7
30296,04.7
30330,104.7
30464,10.2
30564,1.0
30631,96.2
30664,156.0
30698,5.6
30765,45.6
