Time (ms),Reading
33,0.0
66,0.0
100,0.0
133,0.0
166,0.0
200,0.0
233,0.0
266,0.0
300,0.0
333,0.0
367,0.0
400,0.0
433,0.0
467,0.0
500,0.0
533,0.0
567,0.0
600,0.0
633,0.0
667,0.0
700,0.0
734,0.0
767,0.0
800,0.0
834,0.0
867,0.0
900,0.0
934,0.0
967,0.0
1001,0.0
1034,0.0
1067,0.0
1101,0.0
1134,0.0
1167,0.0
1201,0.0
1234,0.0
1267,0.0
1301,0.0
1334,0.0
1368,0.0
1401,0.0
1434,0.0
1468,0.0
1501,0.0
1534,0.0
1568,0.0
1601,0.0
1634,0.0
1668,0.0
1701,0.0
1735,0.0
1768,0.0
1801,0.0
1835,0.0
1868,0.0
1901,0.0
1935,0.0
1968,0.0
2002,0.0
2035,0.0
2068,0.0
2102,0.0
2135,0.0
2168,0.0
2202,0.0
2235,0.0
2268,0.0
2302,0.0
2335,0.0
2369,0.0
2402,0.0
2435,0.0
2469,0.0
2502,0.0
2535,0.0
2569,0.0
2602,0.0
2635,0.0
2669,0.0
2702,0.0
2736,0.0
2769,0.2
2802,0.2
2836,4.2
2869,0.2
2902,0.2
2936,4.2
2969,0.2
3003,0.2
3036,0.2
3069,0.2
3103,0.0
3136,0.0
3169,0.9
3203,0.9
3236,0.0
3269,0.0
3303,0.0
3336,0.0
3370,0.0
3403,0.0
3436,0.0
3470,0.0
3503,0.0
3536,0.2
3570,05.2
3603,0.2
3636,0.2
3670,0.2
3703,0.2
3737,0.2
3770,0.2
3803,0.2
3837,0.2
3870,0.2
3903,0.2
3937,0.2
3970,0.2
4004,0.2
4037,0.2
4070,0.2
4104,0.2
4137,0.2
4170,0.2
4204,0.2
4237,0.2
4270,0.2
4304,0.2
4337,0.2
4371,0.2
4404,0.2
4437,0.2
4471,0.2
4504,0.2
4537,0.2
4571,0.2
4604,0.2
4637,0.2
4671,0.2
4704,0.2
4738,0.2
4771,0.2
4804,0.0
4838,0.2
4871,0.2
4904,0.4
4938,0.2
4971,0.2
5005,0.2
5038,0.2
5071,0.2
5105,0.2
5138,0.2
5171,0.2
5205,0.2
5238,0.2
5271,0.2
5305,0.2
5338,0.2
5372,0.2
5405,0.2
5438,0.2
5472,0.2
5505,0.2
5538,0.2
5572,0.2
5605,0.6
5638,0.2
5672,0.2
5705,0.6
5739,0.2
5772,0.2
5805,0.2
5839,0.2
5872,0.7
5905,0.7
5939,0.6
5972,0.6
6006,0.6
6039,0.8
6072,0.8
6106,0.8
6139,0.8
6172,0.8
6206,0.8
6239,0.8
6272,0.8
6306,0.8
6339,0.8
6373,0.8
6406,0.8
6439,0.8
6473,0.8
6506,0.8
6539,0.8
6573,52.0
6606,0.8
6639,0.8
6673,52.0
